"id","english","nepali","domain","context","register","source","license","quality_tier","native_review_required","notes"
"20","Repealed Laws","खारेज भएका कानून","government_ui","navigation","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"21","Repealed Acts","खारेज भएका ऐन","government_ui","navigation","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"22","Repealed Ordinances","खारेज भएका अध्यादेश","government_ui","navigation","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"23","Repealed Regulations","खारेज भएका नियमावली","government_ui","navigation","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"24","Policies","नीति","government_ui","navigation","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"25","International Treaties and Agreements","अन्तर्राष्ट्रिय सन्धि सम्झौता","government_ui","navigation","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"26","Historical Documents","ऐतिहासिक दस्तावेज","government_ui","navigation","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"27","Other","अन्य","government_ui","navigation","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"28","Information Center","सूचना केन्द्र","government_ui","navigation","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"29","Annual Report","वार्षिक प्रतिवेदन","government_ui","navigation","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"30","Contact","सम्पर्क","government_ui","navigation","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"31","Contact Address","सम्पर्क ठेगाना","government_ui","navigation","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"32","Suggestions and Complaints","सुझाव र गुनासो","government_ui","navigation","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"33","Frequently Asked Questions","बारम्बार सोधिने प्रश्न र उत्तर","government_ui","navigation","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"34","Government of Nepal","नेपाल सरकार","government_ui","header","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"35","Nepal Law Commission","नेपाल कानून आयोग","government_ui","header","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"36","New Baneshwor, Kathmandu","नयाँ बानेश्वर, काठमाडौं","government_ui","header","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"37","Select Language","भाषा चयन गर्नुहोस्","government_ui","control","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"38","Search","खोज्नुहोस्","government_ui","control","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"39","Important Notice","महत्त्वपूर्ण सूचना","government_ui","notice","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"40","Office Hours","कार्यालय समय","government_ui","footer","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"41","Home","गृहपृष्ठ","government_ui","navigation","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"42","Download","डाउनलोड गर्नुहोस्","government_ui","control","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"43","Read More","थप पढ्नुहोस्","government_ui","control","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"44","Previous","अघिल्लो","government_ui","pagination","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"45","Next","अर्को","government_ui","pagination","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"46","Submit","पेश गर्नुहोस्","government_ui","control","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"47","Cancel","रद्द गर्नुहोस्","government_ui","control","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"48","Close","बन्द गर्नुहोस्","government_ui","control","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"49","Back","पछाडि","government_ui","control","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"50","Share","साझा गर्नुहोस्","government_ui","control","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"51","Hello.","नमस्कार।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"52","Hello.","नमस्ते।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"53","Thank you.","धन्यवाद।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"54","Thank you.","धन्यवाद।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"55","You are welcome.","हजुरलाई स्वागत छ।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"56","You are welcome.","स्वागत छ।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"57","Excuse me.","माफ गर्नुहोस्।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"58","Excuse me.","माफ गर।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"59","I am sorry.","म क्षमा चाहन्छु।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"60","I am sorry.","माफ गर।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"61","Yes.","हो।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"62","Yes.","हो।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"63","No.","होइन।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"64","No.","होइन।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"65","Please.","कृपया।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"66","Please.","कृपया।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"67","How are you?","तपाईंलाई कस्तो छ?","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"68","How are you?","तिमीलाई कस्तो छ?","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"69","I am fine.","मलाई सन्चै छ।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"70","I am fine.","मलाई सन्चै छ।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"71","What is your name?","तपाईंको नाम के हो?","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"72","What is your name?","तिम्रो नाम के हो?","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"73","My name is Ram.","मेरो नाम राम हो।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"74","My name is Ram.","मेरो नाम राम हो।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"75","Where are you from?","तपाईं कहाँबाट आउनुभएको हो?","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"76","Where are you from?","तिमी कहाँबाट आएको?","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"77","I am from Nepal.","म नेपालबाट आएको हुँ।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"78","I am from Nepal.","म नेपालबाट आएको हुँ।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"79","Do you speak English?","के तपाईं अङ्ग्रेजी बोल्नुहुन्छ?","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"80","Do you speak English?","के तिमी अङ्ग्रेजी बोल्छौ?","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"81","I speak a little Nepali.","म अलिकति नेपाली बोल्छु।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"82","I speak a little Nepali.","म अलिकति नेपाली बोल्छु।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"83","I do not understand.","मैले बुझिनँ।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"84","I do not understand.","मैले बुझिनँ।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"85","Please speak slowly.","कृपया बिस्तारै बोल्नुहोस्।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"86","Please speak slowly.","बिस्तारै बोल न।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"87","Please say that again.","कृपया फेरि भन्नुहोस्।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"88","Please say that again.","फेरि भन न।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"89","What does this mean?","यसको अर्थ के हो?","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"90","What does this mean?","यसको अर्थ के हो?","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"91","Can you help me?","के तपाईं मलाई मद्दत गर्न सक्नुहुन्छ?","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"92","Can you help me?","के तिमी मलाई मद्दत गर्न सक्छौ?","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"93","I need help.","मलाई मद्दत चाहिन्छ।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"94","I need help.","मलाई मद्दत चाहिन्छ।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"95","Where is the hospital?","अस्पताल कहाँ छ?","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"96","Where is the hospital?","अस्पताल कहाँ छ?","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"97","Call an ambulance.","एम्बुलेन्स बोलाउनुहोस्।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"98","Call an ambulance.","एम्बुलेन्स बोलाऊ।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"99","Call the police.","प्रहरीलाई बोलाउनुहोस्।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"100","Call the police.","प्रहरीलाई बोलाऊ।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"101","This is an emergency.","यो आपत्कालीन अवस्था हो।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"102","This is an emergency.","यो आपत्कालीन अवस्था हो।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"103","I am lost.","म बाटो बिराएँ।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"104","I am lost.","म बाटो बिराएँ।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"105","Where is the bus station?","बसपार्क कहाँ छ?","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"106","Where is the bus station?","बसपार्क कहाँ छ?","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"107","Where is the toilet?","शौचालय कहाँ छ?","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"108","Where is the toilet?","शौचालय कहाँ छ?","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"109","How far is it?","यो कति टाढा छ?","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"110","How far is it?","यो कति टाढा छ?","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"111","Please show me on the map.","कृपया मलाई नक्सामा देखाउनुहोस्।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"112","Please show me on the map.","मलाई नक्सामा देखाऊ न।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"113","Turn left.","बायाँ मोड्नुहोस्।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"114","Turn left.","बायाँ मोड।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"115","Turn right.","दायाँ मोड्नुहोस्।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"116","Turn right.","दायाँ मोड।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"117","Go straight.","सिधा जानुहोस्।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"118","Go straight.","सिधा जाऊ।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"119","Please stop here.","कृपया यहाँ रोक्नुहोस्।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"120","Please stop here.","यहाँ रोक न।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"121","How much does this cost?","यसको मूल्य कति हो?","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"122","How much does this cost?","यो कति पर्छ?","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"123","That is too expensive.","त्यो धेरै महँगो छ।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"124","That is too expensive.","त्यो धेरै महँगो छ।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"125","Do you have a smaller size?","के तपाईंसँग योभन्दा सानो आकार छ?","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"126","Do you have a smaller size?","के तिमीसँग योभन्दा सानो साइज छ?","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"127","I would like this.","मलाई यो चाहिन्छ।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"128","I would like this.","मलाई यो चाहिन्छ।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"129","I do not want this.","मलाई यो चाहिँदैन।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"130","I do not want this.","मलाई यो चाहिँदैन।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"131","Can I pay by card?","के म कार्डबाट भुक्तानी गर्न सक्छु?","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"132","Can I pay by card?","के म कार्डले तिर्न सक्छु?","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"133","Please give me a receipt.","कृपया मलाई रसिद दिनुहोस्।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"134","Please give me a receipt.","मलाई रसिद देऊ न।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"135","I am hungry.","मलाई भोक लागेको छ।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"136","I am hungry.","मलाई भोक लागेको छ।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"137","I am thirsty.","मलाई तिर्खा लागेको छ।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"138","I am thirsty.","मलाई तिर्खा लागेको छ।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"139","I do not eat meat.","म मासु खाँदिनँ।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"140","I do not eat meat.","म मासु खाँदिनँ।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"141","Is this vegetarian?","के यो शाकाहारी हो?","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"142","Is this vegetarian?","यो शाकाहारी हो?","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"143","Please give me water.","कृपया मलाई पानी दिनुहोस्।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"144","Please give me water.","मलाई पानी देऊ न।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"145","The food is delicious.","खाना स्वादिष्ट छ।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"146","The food is delicious.","खाना मिठो छ।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"147","I have an allergy.","मलाई एलर्जी छ।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"148","I have an allergy.","मलाई एलर्जी छ।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"149","I am sick.","म बिरामी छु।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"150","I am sick.","म बिरामी छु।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"151","I have a fever.","मलाई ज्वरो आएको छ।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"152","I have a fever.","मलाई ज्वरो आएको छ।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"153","My head hurts.","मेरो टाउको दुखेको छ।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"154","My head hurts.","मेरो टाउको दुखेको छ।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"155","Where does it hurt?","तपाईंलाई कहाँ दुखेको छ?","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"156","Where does it hurt?","तिमीलाई कहाँ दुखेको छ?","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"157","Please wait.","कृपया पर्खनुहोस्।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"158","Please wait.","पर्ख न।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"159","Please come with me.","कृपया मसँग आउनुहोस्।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"160","Please come with me.","मसँग आऊ न।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"161","Please sit down.","कृपया बस्नुहोस्।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
